,Single Year of Age,Administrative Counties,VALUE
2393,73 years,Leitrim County Council,295
2394,73 years,Mayo  County Council,1365
2395,73 years,Roscommon County Council,617
2396,73 years,Sligo County Council,667
2397,73 years,Cavan County Council,629
2398,73 years,Donegal County Council,1522
2399,73 years,Monaghan County Council,536
2400,74 years,Ireland,37670
2401,74 years,Carlow County Council,475
2402,74 years,Dublin City Council,3632
2403,74 years,Dún Laoghaire Rathdown County Council,1814
2404,74 years,Fingal County Council,1821
2405,74 years,South Dublin County Council,1973
2406,74 years,Kildare County Council,1494
2407,74 years,Kilkenny County Council,860
2408,74 years,Laois County Council,567
2409,74 years,Longford County Council,371
2410,74 years,Louth County Council,1006
2411,74 years,Meath County Council,1329
2412,74 years,Offaly County Council,637
2413,74 years,Westmeath County Council,686
2414,74 years,Wexford County Council,1303
2415,74 years,Wicklow County Council,1126
2416,74 years,Clare County Council,1076
2417,74 years,Cork City Council,1572
2418,74 years,Cork County Council,2770
2419,74 years,Kerry County Council,1481
2420,74 years,Limerick City & County Council,1658
2421,74 years,Tipperary County Council,1459
2422,74 years,Waterford City & County Council,1000
2423,74 years,Galway City Council,502
2424,74 years,Galway County Council,1570
2425,74 years,Leitrim County Council,313
2426,74 years,Mayo  County Council,1349
2427,74 years,Roscommon County Council,625
2428,74 years,Sligo County Council,642
2429,74 years,Cavan County Council,596
2430,74 years,Donegal County Council,1465
2431,74 years,Monaghan County Council,498
2432,75 years,Ireland,35767
2433,75 years,Carlow County Council,404
2434,75 years,Dublin City Council,3409
2435,75 years,Dún Laoghaire Rathdown County Council,1836
2436,75 years,Fingal County Council,1732
2437,75 years,South Dublin County Council,1803
2438,75 years,Kildare County Council,1456
2439,75 years,Kilkenny County Council,769
2440,75 years,Laois County Council,579
2441,75 years,Longford County Council,344
2442,75 years,Louth County Council,916
2443,75 years,Meath County Council,1250
2444,75 years,Offaly County Council,606
2445,75 years,Westmeath County Council,634
2446,75 years,Wexford County Council,1280
2447,75 years,Wicklow County Council,1114
2448,75 years,Clare County Council,1058
2449,75 years,Cork City Council,1518
2450,75 years,Cork County Council,2620
2451,75 years,Kerry County Council,1418
2452,75 years,Limerick City & County Council,1548
2453,75 years,Tipperary County Council,1297
2454,75 years,Waterford City & County Council,1059
2455,75 years,Galway City Council,479
2456,75 years,Galway County Council,1443
2457,75 years,Leitrim County Council,287
2458,75 years,Mayo  County Council,1271
2459,75 years,Roscommon County Council,573
2460,75 years,Sligo County Council,583
2461,75 years,Cavan County Council,582
2462,75 years,Donegal County Council,1407
2463,75 years,Monaghan County Council,492
2464,76 years,Ireland,33759
2465,76 years,Carlow County Council,412
2466,76 years,Dublin City Council,3195
2467,76 years,Dún Laoghaire Rathdown County Council,1703
2468,76 years,Fingal County Council,1660
2469,76 years,South Dublin County Council,1736
2470,76 years,Kildare County Council,1245
2471,76 years,Kilkenny County Council,725
2472,76 years,Laois County Council,539
2473,76 years,Longford County Council,359
2474,76 years,Louth County Council,921
2475,76 years,Meath County Council,1174
2476,76 years,Offaly County Council,562
2477,76 years,Westmeath County Council,586
2478,76 years,Wexford County Council,1188
2479,76 years,Wicklow County Council,1047
2480,76 years,Clare County Council,976
2481,76 years,Cork City Council,1483
2482,76 years,Cork County Council,2446
2483,76 years,Kerry County Council,1351
2484,76 years,Limerick City & County Council,1462
2485,76 years,Tipperary County Council,1301
2486,76 years,Waterford City & County Council,938
2487,76 years,Galway City Council,504
2488,76 years,Galway County Council,1341
2489,76 years,Leitrim County Council,279
2490,76 years,Mayo  County Council,1150
2491,76 years,Roscommon County Council,592
2492,76 years,Sligo County Council,562
2493,76 years,Cavan County Council,514
2494,76 years,Donegal County Council,1344
2495,76 years,Monaghan County Council,464
2496,77 years,Ireland,30572
2497,77 years,Carlow County Council,372
2498,77 years,Dublin City Council,2943
2499,77 years,Dún Laoghaire Rathdown County Council,1604
2500,77 years,Fingal County Council,1475
2501,77 years,South Dublin County Council,1509
2502,77 years,Kildare County Council,1181
2503,77 years,Kilkenny County Council,697
2504,77 years,Laois County Council,452
2505,77 years,Longford County Council,296
2506,77 years,Louth County Council,775
2507,77 years,Meath County Council,1067
2508,77 years,Offaly County Council,496
2509,77 years,Westmeath County Council,598
2510,77 years,Wexford County Council,1090
2511,77 years,Wicklow County Council,974
2512,77 years,Clare County Council,894
2513,77 years,Cork City Council,1358
2514,77 years,Cork County Council,2290
2515,77 years,Kerry County Council,1189
2516,77 years,Limerick City & County Council,1324
2517,77 years,Tipperary County Council,1211
2518,77 years,Waterford City & County Council,835
2519,77 years,Galway City Council,425
2520,77 years,Galway County Council,1198
2521,77 years,Leitrim County Council,260
2522,77 years,Mayo  County Council,1044
2523,77 years,Roscommon County Council,466
2524,77 years,Sligo County Council,511
2525,77 years,Cavan County Council,482
2526,77 years,Donegal County Council,1179
2527,77 years,Monaghan County Council,377
2528,78 years,Ireland,28058
2529,78 years,Carlow County Council,312
2530,78 years,Dublin City Council,2846
2531,78 years,Dún Laoghaire Rathdown County Council,1551
2532,78 years,Fingal County Council,1292
2533,78 years,South Dublin County Council,1393
2534,78 years,Kildare County Council,1040
2535,78 years,Kilkenny County Council,610
2536,78 years,Laois County Council,443
2537,78 years,Longford County Council,261
2538,78 years,Louth County Council,797
2539,78 years,Meath County Council,992
2540,78 years,Offaly County Council,439
2541,78 years,Westmeath County Council,519
2542,78 years,Wexford County Council,1056
2543,78 years,Wicklow County Council,936
2544,78 years,Clare County Council,793
2545,78 years,Cork City Council,1197
2546,78 years,Cork County Council,1965
2547,78 years,Kerry County Council,1077
2548,78 years,Limerick City & County Council,1217
2549,78 years,Tipperary County Council,1043
2550,78 years,Waterford City & County Council,761
2551,78 years,Galway City Council,387
2552,78 years,Galway County Council,1125
2553,78 years,Leitrim County Council,232
2554,78 years,Mayo  County Council,952
2555,78 years,Roscommon County Council,461
2556,78 years,Sligo County Council,452
2557,78 years,Cavan County Council,433
2558,78 years,Donegal County Council,1115
2559,78 years,Monaghan County Council,361
2560,79 years,Ireland,26104
2561,79 years,Carlow County Council,339
2562,79 years,Dublin City Council,2774
2563,79 years,Dún Laoghaire Rathdown County Council,1448
2564,79 years,Fingal County Council,1258
2565,79 years,South Dublin County Council,1205
2566,79 years,Kildare County Council,981
2567,79 years,Kilkenny County Council,597
2568,79 years,Laois County Council,390
2569,79 years,Longford County Council,235
2570,79 years,Louth County Council,665
2571,79 years,Meath County Council,865
2572,79 years,Offaly County Council,442
2573,79 years,Westmeath County Council,478
2574,79 years,Wexford County Council,912
2575,79 years,Wicklow County Council,812
2576,79 years,Clare County Council,693
2577,79 years,Cork City Council,1142
2578,79 years,Cork County Council,1833
2579,79 years,Kerry County Council,1017
2580,79 years,Limerick City & County Council,1209
2581,79 years,Tipperary County Council,1010
2582,79 years,Waterford City & County Council,699
2583,79 years,Galway City Council,363
2584,79 years,Galway County Council,1026
2585,79 years,Leitrim County Council,212
2586,79 years,Mayo  County Council,884
2587,79 years,Roscommon County Council,422
2588,79 years,Sligo County Council,457
2589,79 years,Cavan County Council,388
2590,79 years,Donegal County Council,991
2591,79 years,Monaghan County Council,357
2592,80 years,Ireland,22847
2593,80 years,Carlow County Council,279
2594,80 years,Dublin City Council,2408
2595,80 years,Dún Laoghaire Rathdown County Council,1410
2596,80 years,Fingal County Council,1011
2597,80 years,South Dublin County Council,1022
2598,80 years,Kildare County Council,778
2599,80 years,Kilkenny County Council,514
2600,80 years,Laois County Council,341
2601,80 years,Longford County Council,207
2602,80 years,Louth County Council,572
2603,80 years,Meath County Council,802
2604,80 years,Offaly County Council,360
2605,80 years,Westmeath County Council,397
2606,80 years,Wexford County Council,833
2607,80 years,Wicklow County Council,706
2608,80 years,Clare County Council,594
2609,80 years,Cork City Council,1103
2610,80 years,Cork County Council,1669
2611,80 years,Kerry County Council,818
2612,80 years,Limerick City & County Council,1001
2613,80 years,Tipperary County Council,804
2614,80 years,Waterford City & County Council,656
2615,80 years,Galway City Council,376
2616,80 years,Galway County Council,998
2617,80 years,Leitrim County Council,159
2618,80 years,Mayo  County Council,799
2619,80 years,Roscommon County Council,362
2620,80 years,Sligo County Council,379
2621,80 years,Cavan County Council,332
2622,80 years,Donegal County Council,902
2623,80 years,Monaghan County Council,255
2624,81 years,Ireland,20661
2625,81 years,Carlow County Council,265
2626,81 years,Dublin City Council,2254
2627,81 years,Dún Laoghaire Rathdown County Council,1240
2628,81 years,Fingal County Council,919
2629,81 years,South Dublin County Council,992
2630,81 years,Kildare County Council,673
2631,81 years,Kilkenny County Council,463
2632,81 years,Laois County Council,304
2633,81 years,Longford County Council,179
2634,81 years,Louth County Council,589
2635,81 years,Meath County Council,674
2636,81 years,Offaly County Council,309
2637,81 years,Westmeath County Council,380
2638,81 years,Wexford County Council,763
2639,81 years,Wicklow County Council,603
2640,81 years,Clare County Council,583
2641,81 years,Cork City Council,943
2642,81 years,Cork County Council,1407
2643,81 years,Kerry County Council,783
2644,81 years,Limerick City & County Council,888
2645,81 years,Tipperary County Council,775
2646,81 years,Waterford City & County Council,585
2647,81 years,Galway City Council,250
2648,81 years,Galway County Council,865
2649,81 years,Leitrim County Council,150
2650,81 years,Mayo  County Council,740
2651,81 years,Roscommon County Council,335
2652,81 years,Sligo County Council,340
2653,81 years,Cavan County Council,319
2654,81 years,Donegal County Council,840
2655,81 years,Monaghan County Council,251
2656,82 years,Ireland,19538
2657,82 years,Carlow County Council,240
2658,82 years,Dublin City Council,2287
2659,82 years,Dún Laoghaire Rathdown County Council,1229
2660,82 years,Fingal County Council,848
2661,82 years,South Dublin County Council,901
2662,82 years,Kildare County Council,636
2663,82 years,Kilkenny County Council,399
2664,82 years,Laois County Council,269
2665,82 years,Longford County Council,164
2666,82 years,Louth County Council,512
2667,82 years,Meath County Council,617
2668,82 years,Offaly County Council,319
2669,82 years,Westmeath County Council,328
2670,82 years,Wexford County Council,670
2671,82 years,Wicklow County Council,599
2672,82 years,Clare County Council,526
2673,82 years,Cork City Council,963
2674,82 years,Cork County Council,1379
2675,82 years,Kerry County Council,758
2676,82 years,Limerick City & County Council,846
2677,82 years,Tipperary County Council,749
2678,82 years,Waterford City & County Council,502
2679,82 years,Galway City Council,279
2680,82 years,Galway County Council,804
2681,82 years,Leitrim County Council,169
2682,82 years,Mayo  County Council,641
2683,82 years,Roscommon County Council,322
2684,82 years,Sligo County Council,298
2685,82 years,Cavan County Council,273
2686,82 years,Donegal County Council,744
2687,82 years,Monaghan County Council,267
2688,83 years,Ireland,17885
2689,83 years,Carlow County Council,203
2690,83 years,Dublin City Council,2088
2691,83 years,Dún Laoghaire Rathdown County Council,1141
2692,83 years,Fingal County Council,707
2693,83 years,South Dublin County Council,798
2694,83 years,Kildare County Council,562
2695,83 years,Kilkenny County Council,387
2696,83 years,Laois County Council,251
2697,83 years,Longford County Council,143
2698,83 years,Louth County Council,461
2699,83 years,Meath County Council,567
2700,83 years,Offaly County Council,313
2701,83 years,Westmeath County Council,346
2702,83 years,Wexford County Council,651
2703,83 years,Wicklow County Council,531
2704,83 years,Clare County Council,476
2705,83 years,Cork City Council,844
2706,83 years,Cork County Council,1179
2707,83 years,Kerry County Council,615
2708,83 years,Limerick City & County Council,771
2709,83 years,Tipperary County Council,678
2710,83 years,Waterford City & County Council,501
2711,83 years,Galway City Council,277
2712,83 years,Galway County Council,770
2713,83 years,Leitrim County Council,163
2714,83 years,Mayo  County Council,621
2715,83 years,Roscommon County Council,317
2716,83 years,Sligo County Council,298
2717,83 years,Cavan County Council,280
2718,83 years,Donegal County Council,707
2719,83 years,Monaghan County Council,239
2720,84 years,Ireland,15655
2721,84 years,Carlow County Council,198
2722,84 years,Dublin City Council,1916
2723,84 years,Dún Laoghaire Rathdown County Council,992
2724,84 years,Fingal County Council,642
2725,84 years,South Dublin County Council,711
2726,84 years,Kildare County Council,464
2727,84 years,Kilkenny County Council,347
2728,84 years,Laois County Council,205
2729,84 years,Longford County Council,140
2730,84 years,Louth County Council,416
2731,84 years,Meath County Council,460
2732,84 years,Offaly County Council,251
2733,84 years,Westmeath County Council,275
2734,84 years,Wexford County Council,553
2735,84 years,Wicklow County Council,454
2736,84 years,Clare County Council,394
2737,84 years,Cork City Council,750
2738,84 years,Cork County Council,1059
2739,84 years,Kerry County Council,607
2740,84 years,Limerick City & County Council,687
2741,84 years,Tipperary County Council,611
2742,84 years,Waterford City & County Council,429
2743,84 years,Galway City Council,236
2744,84 years,Galway County Council,603
2745,84 years,Leitrim County Council,144
2746,84 years,Mayo  County Council,543
2747,84 years,Roscommon County Council,249
2748,84 years,Sligo County Council,237
2749,84 years,Cavan County Council,252
2750,84 years,Donegal County Council,623
2751,84 years,Monaghan County Council,207
2752,85 years,Ireland,14457
2753,85 years,Carlow County Council,141
2754,85 years,Dublin City Council,1786
2755,85 years,Dún Laoghaire Rathdown County Council,937
2756,85 years,Fingal County Council,546
2757,85 years,South Dublin County Council,644
2758,85 years,Kildare County Council,475
2759,85 years,Kilkenny County Council,309
2760,85 years,Laois County Council,198
2761,85 years,Longford County Council,143
2762,85 years,Louth County Council,352
2763,85 years,Meath County Council,438
2764,85 years,Offaly County Council,295
2765,85 years,Westmeath County Council,274
2766,85 years,Wexford County Council,503
2767,85 years,Wicklow County Council,417
2768,85 years,Clare County Council,376
2769,85 years,Cork City Council,653
2770,85 years,Cork County Council,1050
2771,85 years,Kerry County Council,499
2772,85 years,Limerick City & County Council,597
2773,85 years,Tipperary County Council,551
2774,85 years,Waterford City & County Council,396
2775,85 years,Galway City Council,211
2776,85 years,Galway County Council,569
2777,85 years,Leitrim County Council,108
2778,85 years,Mayo  County Council,523
2779,85 years,Roscommon County Council,235
2780,85 years,Sligo County Council,260
2781,85 years,Cavan County Council,245
2782,85 years,Donegal County Council,551
2783,85 years,Monaghan County Council,175
2784,86 years,Ireland,12871
2785,86 years,Carlow County Council,159
2786,86 years,Dublin City Council,1562
2787,86 years,Dún Laoghaire Rathdown County Council,817
2788,86 years,Fingal County Council,500
2789,86 years,South Dublin County Council,530
2790,86 years,Kildare County Council,371
2791,86 years,Kilkenny County Council,307
2792,86 years,Laois County Council,176
2793,86 years,Longford County Council,140
2794,86 years,Louth County Council,317
2795,86 years,Meath County Council,402
2796,86 years,Offaly County Council,225
2797,86 years,Westmeath County Council,242
2798,86 years,Wexford County Council,443
2799,86 years,Wicklow County Council,372
2800,86 years,Clare County Council,355
2801,86 years,Cork City Council,614
2802,86 years,Cork County Council,923
2803,86 years,Kerry County Council,439
2804,86 years,Limerick City & County Council,556
2805,86 years,Tipperary County Council,503
2806,86 years,Waterford City & County Council,354
2807,86 years,Galway City Council,181
2808,86 years,Galway County Council,552
2809,86 years,Leitrim County Council,92
2810,86 years,Mayo  County Council,451
2811,86 years,Roscommon County Council,235
2812,86 years,Sligo County Council,222
2813,86 years,Cavan County Council,226
2814,86 years,Donegal County Council,434
2815,86 years,Monaghan County Council,171
2816,87 years,Ireland,11281
2817,87 years,Carlow County Council,119
2818,87 years,Dublin City Council,1417
2819,87 years,Dún Laoghaire Rathdown County Council,736
2820,87 years,Fingal County Council,434
2821,87 years,South Dublin County Council,474
2822,87 years,Kildare County Council,341
2823,87 years,Kilkenny County Council,278
2824,87 years,Laois County Council,158
2825,87 years,Longford County Council,102
2826,87 years,Louth County Council,266
2827,87 years,Meath County Council,379
2828,87 years,Offaly County Council,173
2829,87 years,Westmeath County Council,228
2830,87 years,Wexford County Council,366
2831,87 years,Wicklow County Council,291
2832,87 years,Clare County Council,283
2833,87 years,Cork City Council,528
2834,87 years,Cork County Council,804
2835,87 years,Kerry County Council,424
2836,87 years,Limerick City & County Council,451
2837,87 years,Tipperary County Council,430
2838,87 years,Waterford City & County Council,328
2839,87 years,Galway City Council,143
2840,87 years,Galway County Council,439
2841,87 years,Leitrim County Council,105
2842,87 years,Mayo  County Council,393
2843,87 years,Roscommon County Council,226
2844,87 years,Sligo County Council,194
2845,87 years,Cavan County Council,182
2846,87 years,Donegal County Council,433
2847,87 years,Monaghan County Council,156
2848,88 years,Ireland,9698
2849,88 years,Carlow County Council,105
2850,88 years,Dublin City Council,1330
2851,88 years,Dún Laoghaire Rathdown County Council,668
2852,88 years,Fingal County Council,324
2853,88 years,South Dublin County Council,379
2854,88 years,Kildare County Council,265
2855,88 years,Kilkenny County Council,203
2856,88 years,Laois County Council,137
2857,88 years,Longford County Council,91
2858,88 years,Louth County Council,244
2859,88 years,Meath County Council,282
2860,88 years,Offaly County Council,178
2861,88 years,Westmeath County Council,167
2862,88 years,Wexford County Council,323
2863,88 years,Wicklow County Council,241
2864,88 years,Clare County Council,258
2865,88 years,Cork City Council,454
2866,88 years,Cork County Council,690
2867,88 years,Kerry County Council,322
2868,88 years,Limerick City & County Council,357
2869,88 years,Tipperary County Council,364
2870,88 years,Waterford City & County Council,266
2871,88 years,Galway City Council,141
2872,88 years,Galway County Council,433
2873,88 years,Leitrim County Council,80
2874,88 years,Mayo  County Council,393
2875,88 years,Roscommon County Council,177
2876,88 years,Sligo County Council,168
2877,88 years,Cavan County Council,188
2878,88 years,Donegal County Council,339
2879,88 years,Monaghan County Council,131
2880,89 years,Ireland,7997
2881,89 years,Carlow County Council,86
2882,89 years,Dublin City Council,1066
2883,89 years,Dún Laoghaire Rathdown County Council,525
2884,89 years,Fingal County Council,333
2885,89 years,South Dublin County Council,319
2886,89 years,Kildare County Council,242
2887,89 years,Kilkenny County Council,188
2888,89 years,Laois County Council,96
2889,89 years,Longford County Council,73
2890,89 years,Louth County Council,183
2891,89 years,Meath County Council,224
2892,89 years,Offaly County Council,120
2893,89 years,Westmeath County Council,131
2894,89 years,Wexford County Council,257
2895,89 years,Wicklow County Council,246
2896,89 years,Clare County Council,207
2897,89 years,Cork City Council,365
2898,89 years,Cork County Council,549
2899,89 years,Kerry County Council,269
2900,89 years,Limerick City & County Council,317
2901,89 years,Tipperary County Council,332
2902,89 years,Waterford City & County Council,226
2903,89 years,Galway City Council,96
2904,89 years,Galway County Council,360
2905,89 years,Leitrim County Council,56
2906,89 years,Mayo  County Council,269
2907,89 years,Roscommon County Council,149
2908,89 years,Sligo County Council,140
2909,89 years,Cavan County Council,134
2910,89 years,Donegal County Council,310
2911,89 years,Monaghan County Council,129
2912,90 years,Ireland,6729
2913,90 years,Carlow County Council,65
2914,90 years,Dublin City Council,885
2915,90 years,Dún Laoghaire Rathdown County Council,493
2916,90 years,Fingal County Council,256
2917,90 years,South Dublin County Council,289
2918,90 years,Kildare County Council,196
2919,90 years,Kilkenny County Council,131
2920,90 years,Laois County Council,70
2921,90 years,Longford County Council,56
2922,90 years,Louth County Council,149
2923,90 years,Meath County Council,203
2924,90 years,Offaly County Council,107
2925,90 years,Westmeath County Council,123
2926,90 years,Wexford County Council,217
2927,90 years,Wicklow County Council,177
2928,90 years,Clare County Council,174
2929,90 years,Cork City Council,335
2930,90 years,Cork County Council,475
2931,90 years,Kerry County Council,228
2932,90 years,Limerick City & County Council,248
2933,90 years,Tipperary County Council,280
2934,90 years,Waterford City & County Council,204
2935,90 years,Galway City Council,88
2936,90 years,Galway County Council,289
2937,90 years,Leitrim County Council,61
2938,90 years,Mayo  County Council,256
2939,90 years,Roscommon County Council,137
2940,90 years,Sligo County Council,105
2941,90 years,Cavan County Council,96
2942,90 years,Donegal County Council,248
2943,90 years,Monaghan County Council,88
2944,91 years,Ireland,5731
2945,91 years,Carlow County Council,72
2946,91 years,Dublin City Council,778
2947,91 years,Dún Laoghaire Rathdown County Council,379
2948,91 years,Fingal County Council,211
2949,91 years,South Dublin County Council,210
2950,91 years,Kildare County Council,153
2951,91 years,Kilkenny County Council,138
2952,91 years,Laois County Council,89
2953,91 years,Longford County Council,43
2954,91 years,Louth County Council,132
2955,91 years,Meath County Council,144
2956,91 years,Offaly County Council,77
2957,91 years,Westmeath County Council,109
2958,91 years,Wexford County Council,177
2959,91 years,Wicklow County Council,164
2960,91 years,Clare County Council,138
2961,91 years,Cork City Council,272
2962,91 years,Cork County Council,430
2963,91 years,Kerry County Council,209
2964,91 years,Limerick City & County Council,221
2965,91 years,Tipperary County Council,230
2966,91 years,Waterford City & County Council,171
2967,91 years,Galway City Council,102
2968,91 years,Galway County Council,254
2969,91 years,Leitrim County Council,57
2970,91 years,Mayo  County Council,218
2971,91 years,Roscommon County Council,96
2972,91 years,Sligo County Council,86
2973,91 years,Cavan County Council,98
2974,91 years,Donegal County Council,207
2975,91 years,Monaghan County Council,66
2976,92 years,Ireland,4106
2977,92 years,Carlow County Council,38
2978,92 years,Dublin City Council,624
2979,92 years,Dún Laoghaire Rathdown County Council,287
2980,92 years,Fingal County Council,148
2981,92 years,South Dublin County Council,146
2982,92 years,Kildare County Council,111
2983,92 years,Kilkenny County Council,83
2984,92 years,Laois County Council,65
2985,92 years,Longford County Council,26
2986,92 years,Louth County Council,100
2987,92 years,Meath County Council,125
2988,92 years,Offaly County Council,57
2989,92 years,Westmeath County Council,73
2990,92 years,Wexford County Council,125
2991,92 years,Wicklow County Council,114
2992,92 years,Clare County Council,99
2993,92 years,Cork City Council,177
2994,92 years,Cork County Council,304
2995,92 years,Kerry County Council,128
2996,92 years,Limerick City & County Council,150
2997,92 years,Tipperary County Council,170
2998,92 years,Waterford City & County Council,120
2999,92 years,Galway City Council,64
3000,92 years,Galway County Council,190
3001,92 years,Leitrim County Council,42
3002,92 years,Mayo  County Council,129
3003,92 years,Roscommon County Council,76
3004,92 years,Sligo County Council,54
3005,92 years,Cavan County Council,67
3006,92 years,Donegal County Council,148
3007,92 years,Monaghan County Council,66
3008,93 years,Ireland,3257
3009,93 years,Carlow County Council,26
3010,93 years,Dublin City Council,447
3011,93 years,Dún Laoghaire Rathdown County Council,230
3012,93 years,Fingal County Council,118
3013,93 years,South Dublin County Council,115
3014,93 years,Kildare County Council,114
3015,93 years,Kilkenny County Council,66
3016,93 years,Laois County Council,38
3017,93 years,Longford County Council,36
3018,93 years,Louth County Council,88
3019,93 years,Meath County Council,88
3020,93 years,Offaly County Council,48
3021,93 years,Westmeath County Council,60
3022,93 years,Wexford County Council,110
3023,93 years,Wicklow County Council,82
3024,93 years,Clare County Council,78
3025,93 years,Cork City Council,149
3026,93 years,Cork County Council,236
3027,93 years,Kerry County Council,127
3028,93 years,Limerick City & County Council,130
3029,93 years,Tipperary County Council,118
3030,93 years,Waterford City & County Council,70
3031,93 years,Galway City Council,53
3032,93 years,Galway County Council,129
3033,93 years,Leitrim County Council,32
3034,93 years,Mayo  County Council,122
3035,93 years,Roscommon County Council,71
3036,93 years,Sligo County Council,51
3037,93 years,Cavan County Council,50
3038,93 years,Donegal County Council,130
3039,93 years,Monaghan County Council,45
3040,94 years,Ireland,2455
3041,94 years,Carlow County Council,24
3042,94 years,Dublin City Council,362
3043,94 years,Dún Laoghaire Rathdown County Council,189
3044,94 years,Fingal County Council,86
3045,94 years,South Dublin County Council,100
3046,94 years,Kildare County Council,64
3047,94 years,Kilkenny County Council,63
3048,94 years,Laois County Council,29
3049,94 years,Longford County Council,26
3050,94 years,Louth County Council,50
3051,94 years,Meath County Council,72
3052,94 years,Offaly County Council,50
3053,94 years,Westmeath County Council,47
3054,94 years,Wexford County Council,64
3055,94 years,Wicklow County Council,76
3056,94 years,Clare County Council,54
3057,94 years,Cork City Council,79
3058,94 years,Cork County Council,153
3059,94 years,Kerry County Council,78
3060,94 years,Limerick City & County Council,98
3061,94 years,Tipperary County Council,91
3062,94 years,Waterford City & County Council,57
3063,94 years,Galway City Council,26
3064,94 years,Galway County Council,120
3065,94 years,Leitrim County Council,22
3066,94 years,Mayo  County Council,108
3067,94 years,Roscommon County Council,55
3068,94 years,Sligo County Council,57
3069,94 years,Cavan County Council,32
3070,94 years,Donegal County Council,88
3071,94 years,Monaghan County Council,35
3072,95 years,Ireland,1826
3073,95 years,Carlow County Council,14
3074,95 years,Dublin City Council,265
3075,95 years,Dún Laoghaire Rathdown County Council,132
3076,95 years,Fingal County Council,53
3077,95 years,South Dublin County Council,63
3078,95 years,Kildare County Council,54
3079,95 years,Kilkenny County Council,36
3080,95 years,Laois County Council,13
3081,95 years,Longford County Council,11
3082,95 years,Louth County Council,50
3083,95 years,Meath County Council,63
3084,95 years,Offaly County Council,27
3085,95 years,Westmeath County Council,40
3086,95 years,Wexford County Council,51
3087,95 years,Wicklow County Council,59
3088,95 years,Clare County Council,51
3089,95 years,Cork City Council,61
3090,95 years,Cork County Council,140
3091,95 years,Kerry County Council,66
3092,95 years,Limerick City & County Council,68
3093,95 years,Tipperary County Council,70
3094,95 years,Waterford City & County Council,33
3095,95 years,Galway City Council,24
3096,95 years,Galway County Council,98
3097,95 years,Leitrim County Council,21
3098,95 years,Mayo  County Council,61
3099,95 years,Roscommon County Council,38
3100,95 years,Sligo County Council,23
3101,95 years,Cavan County Council,29
3102,95 years,Donegal County Council,91
3103,95 years,Monaghan County Council,21
3104,96 years,Ireland,1283
3105,96 years,Carlow County Council,11
3106,96 years,Dublin City Council,200
3107,96 years,Dún Laoghaire Rathdown County Council,95
3108,96 years,Fingal County Council,48
3109,96 years,South Dublin County Council,41
3110,96 years,Kildare County Council,37
3111,96 years,Kilkenny County Council,32
3112,96 years,Laois County Council,15
3113,96 years,Longford County Council,13
3114,96 years,Louth County Council,30
3115,96 years,Meath County Council,42
3116,96 years,Offaly County Council,19
3117,96 years,Westmeath County Council,24
3118,96 years,Wexford County Council,42
3119,96 years,Wicklow County Council,38
3120,96 years,Clare County Council,40
3121,96 years,Cork City Council,54
3122,96 years,Cork County Council,84
3123,96 years,Kerry County Council,33
3124,96 years,Limerick City & County Council,50
3125,96 years,Tipperary County Council,41
3126,96 years,Waterford City & County Council,26
3127,96 years,Galway City Council,19
3128,96 years,Galway County Council,54
3129,96 years,Leitrim County Council,6
3130,96 years,Mayo  County Council,52
3131,96 years,Roscommon County Council,28
3132,96 years,Sligo County Council,21
3133,96 years,Cavan County Council,23
3134,96 years,Donegal County Council,48
3135,96 years,Monaghan County Council,17
3136,97 years,Ireland,949
3137,97 years,Carlow County Council,11
3138,97 years,Dublin City Council,115
3139,97 years,Dún Laoghaire Rathdown County Council,57
3140,97 years,Fingal County Council,51
3141,97 years,South Dublin County Council,38
3142,97 years,Kildare County Council,28
3143,97 years,Kilkenny County Council,24
3144,97 years,Laois County Council,10
3145,97 years,Longford County Council,8
3146,97 years,Louth County Council,25
3147,97 years,Meath County Council,24
3148,97 years,Offaly County Council,16
3149,97 years,Westmeath County Council,23
3150,97 years,Wexford County Council,37
3151,97 years,Wicklow County Council,25
3152,97 years,Clare County Council,31
3153,97 years,Cork City Council,39
3154,97 years,Cork County Council,65
3155,97 years,Kerry County Council,45
3156,97 years,Limerick City & County Council,33
3157,97 years,Tipperary County Council,33
3158,97 years,Waterford City & County Council,20
3159,97 years,Galway City Council,12
3160,97 years,Galway County Council,44
3161,97 years,Leitrim County Council,17
3162,97 years,Mayo  County Council,34
3163,97 years,Roscommon County Council,13
3164,97 years,Sligo County Council,22
3165,97 years,Cavan County Council,13
3166,97 years,Donegal County Council,27
3167,97 years,Monaghan County Council,9
3168,98 years,Ireland,622
3169,98 years,Carlow County Council,7
3170,98 years,Dublin City Council,81
3171,98 years,Dún Laoghaire Rathdown County Council,45
3172,98 years,Fingal County Council,21
3173,98 years,South Dublin County Council,17
3174,98 years,Kildare County Council,15
3175,98 years,Kilkenny County Council,16
3176,98 years,Laois County Council,5
3177,98 years,Longford County Council,6
3178,98 years,Louth County Council,20
3179,98 years,Meath County Council,19
3180,98 years,Offaly County Council,8
3181,98 years,Westmeath County Council,11
3182,98 years,Wexford County Council,22
3183,98 years,Wicklow County Council,16
3184,98 years,Clare County Council,15
3185,98 years,Cork City Council,23
3186,98 years,Cork County Council,47
3187,98 years,Kerry County Council,19
3188,98 years,Limerick City & County Council,36
