,Single Year of Age,Administrative Counties,VALUE
450,13 years,Dublin City Council,6039
451,13 years,Dún Laoghaire Rathdown County Council,2976
452,13 years,Fingal County Council,5485
453,13 years,South Dublin County Council,4677
454,13 years,Kildare County Council,3967
455,13 years,Kilkenny County Council,1612
456,13 years,Laois County Council,1533
457,13 years,Longford County Council,763
458,13 years,Louth County Council,2303
459,13 years,Meath County Council,3785
460,13 years,Offaly County Council,1356
461,13 years,Westmeath County Council,1426
462,13 years,Wexford County Council,2621
463,13 years,Wicklow County Council,2447
464,13 years,Clare County Council,1874
465,13 years,Cork City Council,2594
466,13 years,Cork County Council,5833
467,13 years,Kerry County Council,2194
468,13 years,Limerick City & County Council,2951
469,13 years,Tipperary County Council,2502
470,13 years,Waterford City & County Council,1927
471,13 years,Galway City Council,979
472,13 years,Galway County Council,3039
473,13 years,Leitrim County Council,497
474,13 years,Mayo  County Council,1888
475,13 years,Roscommon County Council,1037
476,13 years,Sligo County Council,983
477,13 years,Cavan County Council,1343
478,13 years,Donegal County Council,2632
479,13 years,Monaghan County Council,1050
480,14 years,Ireland,73432
481,14 years,Carlow County Council,951
482,14 years,Dublin City Council,5748
483,14 years,Dún Laoghaire Rathdown County Council,2917
484,14 years,Fingal County Council,5298
485,14 years,South Dublin County Council,4581
486,14 years,Kildare County Council,3944
487,14 years,Kilkenny County Council,1547
488,14 years,Laois County Council,1553
489,14 years,Longford County Council,724
490,14 years,Louth County Council,2161
491,14 years,Meath County Council,3694
492,14 years,Offaly County Council,1276
493,14 years,Westmeath County Council,1422
494,14 years,Wexford County Council,2413
495,14 years,Wicklow County Council,2484
496,14 years,Clare County Council,1848
497,14 years,Cork City Council,2541
498,14 years,Cork County Council,5634
499,14 years,Kerry County Council,2200
500,14 years,Limerick City & County Council,2898
501,14 years,Tipperary County Council,2522
502,14 years,Waterford City & County Council,1856
503,14 years,Galway City Council,881
504,14 years,Galway County Council,3044
505,14 years,Leitrim County Council,495
506,14 years,Mayo  County Council,1916
